HDPE2 Time,HDPE2 Stress,HDPE2 Strain,,HDPE3 Time,HDPE3 Stress,HDPE3 Strain,,LDPE2 Time ,LDPE2 Stress,LDPE2 Strain,,LDPE3 Time,LDPE3 Stress,LDPE3 Strain,,PP2 Time ,PP2 Stress,PP2 Strain,,PP3 Time ,PP3 Stress,PP3 Strain ,,PET2 Time ,PET2 Stress,PET2 Strain,,PET3 Time ,PET3 Stress,PET3 Strain,,HDPE1 Time,HDPE1 Stress,HDPE1 Strain,,LDPE1 Time,LDPE1 Stress,LDPE1 Strain,,PET1 Time,PET1 Stress,PET1 Strain,,PP1 Time ,PP1 Stress,PP1 Strain
0.114,0.758811356,0.334379986,,0.112000003,0.890413614,0.328263255,,0.112000003,0.148249968,0.328489809,,0.112999998,0.152394455,0.331887977,,0.112000003,0.660695289,0.328942889,,0.112000003,0.512095631,0.33007563,,0.114,0.177099962,0.316851762,,0.112000003,0.965002718,0.328263255,,0.112999998,0.083843091,0.019902803,,0.112000003,0.148249968,0.328489809,,0.223000005,0.356993971,0.05007802,,0.112999998,0.043527684,0.019474785
0.214000002,1.355619167,0.653581477,,0.211999997,1.657824572,0.647011639,,0.211999997,0.316611374,0.649277121,,0.213,0.378571022,0.652901816,,0.211999997,1.344439899,0.647238193,,0.211999997,1.138461705,0.647238193,,0.214000002,0.54632336,0.622008387,,0.211999997,1.879397929,0.647011639,,0.213,0.164783746,0.051576078,,0.211999997,0.316611374,0.649277121,,0.323000014,0.466151297,0.079825216,,0.213,0.133639804,0.051790089
0.31400001,1.878235672,0.972329861,,0.312000006,2.388946289,0.965760078,,0.312000006,0.458185583,0.966439684,,0.312999994,0.570826631,0.969384717,,0.312000006,1.951965708,0.965986576,,0.312000006,1.684592908,0.965080361,,0.31400001,1.018507255,0.927814663,,0.312000006,2.617487415,0.96530697,,0.312999994,0.243415823,0.083249354,,0.312000006,0.458185583,0.966439684,,0.423000008,0.571606995,0.11000044,,0.312999994,0.206011245,0.083463365
0.414000005,2.342253278,1.29175785,,0.412,3.033221464,1.284961569,,0.412,0.586745514,1.285867673,,0.412999988,0.743437086,1.288812817,,0.412,2.479252533,1.285867673,,0.412,2.130132235,1.28473496,,0.414000005,1.547434307,1.232321586,,0.412,3.105317099,1.283828855,,0.412999988,0.308312087,0.113852593,,0.412,0.586745514,1.285867673,,0.523000002,0.662285037,0.141459701,,0.412999988,0.265627969,0.113852593
0.513999999,2.760885879,1.609826628,,0.512000024,3.534444792,1.603483344,,0.512000024,0.702781174,1.60416295,,0.513000011,0.898125434,1.607108093,,0.512000024,2.933179082,1.60416295,,0.512000024,2.465111597,1.603256845,,0.513999999,2.078693822,1.535962166,,0.512000024,3.488702989,1.601897522,,0.513000011,0.352999181,0.144669829,,0.512000024,0.702781174,1.60416295,,0.623000026,0.754033753,0.174203027,,0.513000011,0.317532249,0.144883846
0.614000022,3.124458333,1.927442298,,0.611999989,3.970797135,1.920872515,,0.611999989,0.808950404,1.923817659,,0.612999976,1.040555059,1.926536083,,0.611999989,3.325434554,1.921552232,,0.611999989,2.74534221,1.921099014,,0.614000022,2.604819613,1.841985028,,0.611999989,3.769769724,1.922005229,,0.612999976,0.411162775,0.176343107,,0.611999989,0.808950404,1.923817659,,0.72299999,0.847632874,0.205662289,,0.612999976,0.344476168,0.176985133
0.713999987,3.420113508,2.245510965,,0.712000012,4.357583415,2.239167681,,0.712000012,0.905008056,2.241206609,,0.713,1.165282057,2.244604971,,0.712000012,3.656311207,2.239394401,,0.712000012,2.988842566,2.238941182,,0.713999987,3.109606557,2.143676393,,0.712000012,4.027634985,2.238261687,,0.713,0.466985138,0.207374361,,0.712000012,0.905008056,2.241206609,,0.823000014,0.937477512,0.236265534,,0.713,0.380038663,0.20823039
0.81400001,3.710518552,2.563126635,,0.811999977,4.696148358,2.556556852,,0.811999977,0.994288258,2.557916286,,0.813000023,1.278696482,2.561087707,,0.811999977,3.92501318,2.557236569,,0.811999977,3.181392502,2.557689566,,0.81400001,3.577883045,2.446883908,,0.811999977,4.274758339,2.555877357,,0.813000023,0.52640802,0.238833635,,0.811999977,0.994288258,2.557916286,,0.922999978,1.031697414,0.267510791,,0.813000023,0.423103222,0.239689652
0.913999975,3.953381622,2.880289309,,0.912,5.007953386,2.873719526,,0.912,1.077258426,2.876211451,,0.912999988,1.38877431,2.879383093,,0.912,4.162770952,2.873946024,,0.912,3.353837709,2.874625741,,0.913999975,3.970433648,2.750524489,,0.912,4.521196109,2.873946024,,0.912999988,0.587641536,0.270292884,,0.912,1.077258426,2.876211451,,1.023000002,1.122653515,0.298114023,,0.912999988,0.479683911,0.270292884
1.014000058,4.152167736,3.199264191,,1.011999965,5.300778337,3.192694408,,1.011999965,1.154518136,3.193374125,,1.013000011,1.490679425,3.196319047,,1.011999965,4.380025924,3.193147405,,1.011999965,3.519963127,3.192241411,,1.014000058,4.298893172,3.054598135,,1.011999965,4.763760692,3.191788193,,1.013000011,0.654611161,0.302394184,,1.011999965,1.154518136,3.193374125,,1.123000026,1.205541098,0.326577161,,1.013000011,0.535859236,0.300040099
