Wavelength,Air,Glass,SS,MC,DS,2SS1MC,2MC1SS,2SS1DS,2DS1SS,1SS1MC1DS
800,100.016027,91.763257,89.949866,91.131258,86.316561,54.504417,79.731967,74.350557,75.818592,71.493124
798,100.020743,91.753873,89.933128,91.115575,86.301319,54.512968,79.733733,74.332691,75.821323,71.501665
796,100.015545,91.745893,89.936358,91.11466,86.295631,54.495062,79.717613,74.340235,75.799611,71.485388
794,100.004372,91.724217,89.935869,91.120006,86.254827,54.49344,79.703759,74.320375,75.784899,71.470369
792,100.012074,91.744856,89.942194,91.123037,86.253972,54.489768,79.693273,74.313302,75.775298,71.462789
790,100.029765,91.761383,89.938182,91.113279,86.267513,54.500363,79.696509,74.300257,75.779672,71.464625
788,100.038817,91.748592,89.922585,91.108676,86.238902,54.485684,79.679797,74.267277,75.752189,71.459037
786,100.057269,91.736796,89.921648,91.128089,86.237595,54.500799,79.667586,74.264882,75.734831,71.452148
784,100.012612,91.759994,89.894319,91.121627,86.185795,54.468998,79.644856,74.238694,75.685115,71.417286
782,100.027848,91.757121,89.912446,91.122966,86.198373,54.494499,79.648636,74.238597,75.683933,71.414508
780,100.012135,91.764125,89.879292,91.108806,86.151599,54.48349,79.605983,74.202762,75.66135,71.373736
778,100.025054,91.767936,89.900104,91.110252,86.142673,54.493495,79.589822,74.178477,75.673944,71.384428
776,100.035211,91.777338,89.933042,91.134781,86.118964,54.495486,79.57914,74.172119,75.64937,71.402131
774,100.01085,91.760883,89.900384,91.11755,86.091041,54.480343,79.557722,74.166874,75.623659,71.376996
772,100.000799,91.78584,89.871138,91.113766,86.071931,54.483686,79.552727,74.136015,75.601743,71.364323
770,99.999088,91.764604,89.879161,91.110235,86.043431,54.47766,79.533383,74.115088,75.580108,71.34181
768,100.00638,91.768255,89.885286,91.141337,86.020067,54.489485,79.537477,74.115666,75.570407,71.365911
766,100.017185,91.744381,89.877088,91.13625,85.999909,54.48434,79.525652,74.099672,75.547753,71.343265
764,100.01979,91.790169,89.897047,91.154955,85.989118,54.491275,79.540466,74.111901,75.553946,71.353149
762,100.039771,91.780149,89.895004,91.155756,85.940593,54.515642,79.524107,74.097019,75.547425,71.350749
760,100.031779,91.796345,89.871737,91.148807,85.909436,54.505215,79.530553,74.075423,75.507645,71.324024
758,100.038668,91.765408,89.895688,91.162086,85.866414,54.507745,79.546328,74.074213,75.492447,71.319048
756,100.031942,91.771866,89.874484,91.166793,85.799449,54.511298,79.541683,74.065373,75.478541,71.307566
754,100.031231,91.783835,89.864169,91.178121,85.767177,54.512156,79.530544,74.048991,75.468517,71.310648
752,100.027355,91.809753,89.856226,91.162956,85.743983,54.534161,79.54425,74.047054,75.441389,71.302921
750,100.017953,91.796127,89.834717,91.176245,85.685025,54.532921,79.535631,74.018328,75.409877,71.290784
748,100.022557,91.771855,89.830233,91.174878,85.643923,54.539672,79.532453,73.994505,75.382009,71.268785
746,100.031434,91.796915,89.832622,91.186763,85.586329,54.548353,79.543001,73.994056,75.354731,71.263128
744,100.032747,91.819909,89.817672,91.173598,85.516611,54.553025,79.553419,73.96069,75.319429,71.230945
742,100.01551,91.814091,89.816888,91.174943,85.448699,54.553526,79.537229,73.944509,75.269521,71.222104
740,100.034583,91.782126,89.825534,91.206173,85.397854,54.565339,79.557872,73.932127,75.25348,71.21419
